シリーズ,シリーズ略称,チーム名,モード,難易度1,難易度1レベル,難易度2,難易度2レベル,難易度3,難易度3レベル,難易度4,難易度4レベル
イナズマイレブン,IE1,帝国学園,クロニクル,,,ルート解放バトル,4,レアドロップバトル,21,ヒーローバトル,51
イナズマイレブン,IE1,稲妻KFC,クロニクル,,,ルート解放バトル,4,レアドロップバトル,21,ヒーローバトル,51
イナズマイレブン,IE1,尾刈斗中,クロニクル,,,ルート解放バトル,6,レアドロップバトル,23,ヒーローバトル,52
イナズマイレブン,IE1,野生中,クロニクル,,,ルート解放バトル,7,レアドロップバトル,24,ヒーローバトル,52
イナズマイレブン,IE1,御影専農中,クロニクル,,,ルート解放バトル,8,レアドロップバトル,24,ヒーローバトル,53
イナズマイレブン,IE1,秋葉名戸学園,クロニクル,,,ルート解放バトル,9,レアドロップバトル,25,ヒーローバトル,53
イナズマイレブン,IE1,帝国学園,クロニクル,,,ルート解放バトル,12,レアドロップバトル,28,ヒーローバトル,55
イナズマイレブン,IE1,雷門OB,クロニクル,,,ルート解放バトル,13,レアドロップバトル,29,ヒーローバトル,55
イナズマイレブン,IE1,戦国伊賀島中,クロニクル,,,ルート解放バトル,15,レアドロップバトル,30,ヒーローバトル,56
イナズマイレブン,IE1,千羽山中,クロニクル,,,ルート解放バトル,17,レアドロップバトル,32,ヒーローバトル,57
イナズマイレブン,IE1,木戸川清修中,クロニクル,,,ルート解放バトル,19,レアドロップバトル,34,ヒーローバトル,58
イナズマイレブン,IE1,世宇子中,クロニクル,,,ルート解放バトル,32,レアドロップバトル,36,ヒーローバトル,60
イナズマイレブン,IE1,王牙学園,クロニクル,,,ルート解放バトル,25,レアドロップバトル,39,ヒーローバトル,61
イナズマイレブン2,IE2,ジェミニストーム1,クロニクル,,,ルート解放バトル,27,レアドロップバトル,40,ヒーローバトル,85
イナズマイレブン2,IE2,SPフィクサーズ,クロニクル,,,ルート解放バトル,28,レアドロップバトル,41,ヒーローバトル,85
イナズマイレブン2,IE2,ジェミニストーム2,クロニクル,,,ルート解放バトル,28,レアドロップバトル,41,ヒーローバトル,85
イナズマイレブン2,IE2,白恋中,クロニクル,,,ルート解放バトル,28,レアドロップバトル,41,ヒーローバトル,85
イナズマイレブン2,IE2,ジェミニストーム3,クロニクル,,,ルート解放バトル,29,レアドロップバトル,42,ヒーローバトル,85
イナズマイレブン2,IE2,漫遊寺中,クロニクル,,,ルート解放バトル,30,レアドロップバトル,43,ヒーローバトル,86
イナズマイレブン2,IE2,イプシロン1,クロニクル,,,ルート解放バトル,33,レアドロップバトル,45,ヒーローバトル,86
イナズマイレブン2,IE2,真・帝国学園,クロニクル,,,ルート解放バトル,34,レアドロップバトル,47,ヒーローバトル,88
イナズマイレブン2,IE2,大阪ギャルズ・CCC,クロニクル,,,ルート解放バトル,34,レアドロップバトル,46,ヒーローバトル,87
イナズマイレブン2,IE2,イプシロン2,クロニクル,,,ルート解放バトル,37,レアドロップバトル,47,ヒーローバトル,87
イナズマイレブン2,IE2,陽花戸中,クロニクル,,,ルート解放バトル,35,レアドロップバトル,47,ヒーローバトル,88
イナズマイレブン2,IE2,ザ・ジェネシス1,クロニクル,,,ルート解放バトル,38,レアドロップバトル,50,ヒーローバトル,88
イナズマイレブン2,IE2,大海原中,クロニクル,,,ルート解放バトル,38,レアドロップバトル,50,ヒーローバトル,
イナズマイレブン2,IE2,イプシロン改,クロニクル,,,ルート解放バトル,41,レアドロップバトル,52,ヒーローバトル,
イナズマイレブン2,IE2,プロミネンス,クロニクル,,,ルート解放バトル,41,レアドロップバトル,52,ヒーローバトル,
イナズマイレブン2,IE2,ダイヤモンドダスト,クロニクル,,,ルート解放バトル,42,レアドロップバトル,53,ヒーローバトル,
イナズマイレブン2,IE2,雷門中,クロニクル,,,ルート解放バトル,41,レアドロップバトル,52,ヒーローバトル,
イナズマイレブン2,IE2,カオス,クロニクル,,,ルート解放バトル,45,レアドロップバトル,56,ヒーローバトル,90
イナズマイレブン2,IE2,ザ・ジェネシス2,クロニクル,,,ルート解放バトル,47,レアドロップバトル,57,ヒーローバトル,90
イナズマイレブン2,IE2,ダークエンペラーズ,クロニクル,,,ルート解放バトル,50,レアドロップバトル,59,ヒーローバトル,90
イナズマイレブン3,IE3,日本代表候補B,クロニクル,,,ルート解放バトル,50,レアドロップバトル,60,ヒーローバトル,85
イナズマイレブン3,IE3,ビッグウェイブス,クロニクル,,,ルート解放バトル,52,レアドロップバトル,62,ヒーローバトル,
イナズマイレブン3,IE3,デザートライオン,クロニクル,,,ルート解放バトル,52,レアドロップバトル,62,ヒーローバトル,
イナズマイレブン3,IE3,ネオジャパン,クロニクル,,,ルート解放バトル,54,レアドロップバトル,63,ヒーローバトル,
イナズマイレブンGO,GO1,黒の騎士団,クロニクル,,,ルート解放バトル,26,レアドロップバトル,41,ヒーローバトル,85
イナズマイレブンGO,GO1,稲妻KFC,クロニクル,,,ルート解放バトル,26,レアドロップバトル,41,ヒーローバトル,85
イナズマイレブンGO,GO1,栄都学園,クロニクル,,,ルート解放バトル,27,レアドロップバトル,42,ヒーローバトル,
イナズマイレブン,IE1,帝国学園,対戦,イナズマ級,2,デスゾーン級,26,ゴッド級,51,英雄伝説級,71
イナズマイレブン,IE1,稲妻KFC,対戦,イナズマ級,4,デスゾーン級,28,ゴッド級,53,英雄伝説級,73
イナズマイレブン,IE1,尾刈斗中,対戦,イナズマ級,6,デスゾーン級,30,ゴッド級,54,英雄伝説級,74
イナズマイレブン,IE1,野生中,対戦,イナズマ級,8,デスゾーン級,32,ゴッド級,56,英雄伝説級,76
イナズマイレブン,IE1,御影専農中,対戦,イナズマ級,10,デスゾーン級,34,ゴッド級,58,英雄伝説級,78
イナズマイレブン,IE1,秋葉名戸学園,対戦,イナズマ級,12,デスゾーン級,36,ゴッド級,59,英雄伝説級,79
イナズマイレブン,IE1,帝国学園,対戦,イナズマ級,14,デスゾーン級,49,ゴッド級,61,英雄伝説級,81
イナズマイレブン,IE1,雷門OB,対戦,イナズマ級,16,デスゾーン級,41,ゴッド級,63,英雄伝説級,83
イナズマイレブン,IE1,戦国伊賀島中,対戦,イナズマ級,18,デスゾーン級,43,ゴッド級,64,英雄伝説級,84
イナズマイレブン,IE1,千羽山中,対戦,イナズマ級,20,デスゾーン級,45,ゴッド級,66,英雄伝説級,86
イナズマイレブン,IE1,木戸川清修中,対戦,イナズマ級,22,デスゾーン級,47,ゴッド級,68,英雄伝説級,88
イナズマイレブン,IE1,世宇子中,対戦,イナズマ級,24,デスゾーン級,49,ゴッド級,69,英雄伝説級,89
イナズマイレブン,IE1,王牙学園,対戦,イナズマ級,26,デスゾーン級,51,ゴッド級,71,英雄伝説級,91
イナズマイレブン2,IE2,ヤングイナズマ,対戦,イナズマ級,1,デスゾーン級,25,ゴッド級,50,英雄伝説級,70
イナズマイレブン2,IE2,SPフィクサーズ,対戦,イナズマ級,4,デスゾーン級,29,ゴッド級,53,英雄伝説級,73
イナズマイレブン2,IE2,白恋中,対戦,イナズマ級,6,デスゾーン級,30,ゴッド級,54,英雄伝説級,74
イナズマイレブン2,IE2,ジェミニストーム,対戦,イナズマ級,10,デスゾーン級,34,ゴッド級,58,英雄伝説級,78
イナズマイレブン2,IE2,漫遊寺中,対戦,イナズマ級,9,デスゾーン級,34,ゴッド級,57,英雄伝説級,77
イナズマイレブン2,IE2,真・帝国学園,対戦,イナズマ級,13,デスゾーン級,37,ゴッド級,60,英雄伝説級,80
イナズマイレブン2,IE2,大阪ギャルズ・CCC,対戦,イナズマ級,13,デスゾーン級,37,ゴッド級,60,英雄伝説級,80
イナズマイレブン2,IE2,イプシロン,対戦,イナズマ級,16,デスゾーン級,41,ゴッド級,63,英雄伝説級,83
イナズマイレブン2,IE2,陽花戸中,対戦,イナズマ級,15,デスゾーン級,40,ゴッド級,62,英雄伝説級,82
イナズマイレブン2,IE2,大海原中,対戦,イナズマ級,18,デスゾーン級,42,ゴッド級,64,英雄伝説級,84
イナズマイレブン2,IE2,イプシロン改,対戦,イナズマ級,20,デスゾーン級,45,ゴッド級,66,英雄伝説級,86
イナズマイレブン2,IE2,プロミネンス,対戦,イナズマ級,20,デスゾーン級,45,ゴッド級,66,英雄伝説級,86
イナズマイレブン2,IE2,ダイヤモンドダスト,対戦,イナズマ級,22,デスゾーン級,47,ゴッド級,68,英雄伝説級,88
イナズマイレブン2,IE2,雷門中,対戦,イナズマ級,22,デスゾーン級,47,ゴッド級,68,英雄伝説級,88
イナズマイレブン2,IE2,カオス,対戦,イナズマ級,25,デスゾーン級,50,ゴッド級,70,英雄伝説級,90
イナズマイレブン2,IE2,ザ・ジェネシス,対戦,イナズマ級,25,デスゾーン級,50,ゴッド級,70,英雄伝説級,90
イナズマイレブン2,IE2,ダークエンペラーズ,対戦,イナズマ級,26,デスゾーン級,51,ゴッド級,71,英雄伝説級,91
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,南雲原ショップキーパーズ,対戦,イナズマ級,8,デスゾーン級,15,ゴッド級,20,英雄伝説級,25
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,海カモメサッカークラブ,対戦,イナズマ級,8,デスゾーン級,15,ゴッド級,20,英雄伝説級,25
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,二戸川中,対戦,イナズマ級,15,デスゾーン級,25,ゴッド級,36,英雄伝説級,41
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,西ノ宮中,対戦,イナズマ級,26,デスゾーン級,32,ゴッド級,36,英雄伝説級,48
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,銘蘭学院,対戦,イナズマ級,18,デスゾーン級,27,ゴッド級,33,英雄伝説級,36
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,北陽学園,対戦,イナズマ級,22,デスゾーン級,26,ゴッド級,32,英雄伝説級,36
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,伐天・陽花戸中,対戦,イナズマ級,21,デスゾーン級,25,ゴッド級,31,英雄伝説級,35
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,東風異国館,対戦,イナズマ級,27,デスゾーン級,33,ゴッド級,37,英雄伝説級,49
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,京前嵐山中,対戦,イナズマ級,33,デスゾーン級,37,ゴッド級,45,英雄伝説級,53
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,英愛学園,対戦,イナズマ級,32,デスゾーン級,36,ゴッド級,44,英雄伝説級,52
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,偉仁銘文堂,対戦,イナズマ級,32,デスゾーン級,36,ゴッド級,44,英雄伝説級,52
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,法令館中,対戦,イナズマ級,32,デスゾーン級,36,ゴッド級,44,英雄伝説級,52
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,帝国学園,対戦,イナズマ級,36,デスゾーン級,45,ゴッド級,52,英雄伝説級,60
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,白恋中,対戦,イナズマ級,36,デスゾーン級,45,ゴッド級,52,英雄伝説級,60
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,雷門中,対戦,イナズマ級,41,デスゾーン級,51,ゴッド級,61,英雄伝説級,71
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,南雲原ショップキーパーズ,ストーリー,初級,8,中級,15,上級,20,チャレンジ,25
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,海カモメサッカークラブ,ストーリー,初級,8,中級,15,上級,20,チャレンジ,25
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,路地裏バックキックス,ストーリー,初級,25,中級,31,上級,35,チャレンジ,47
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,野球部チーム,ストーリー,初級,39,中級,46,上級,53,チャレンジ,60
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,二戸川中,ストーリー,初級,12,中級,22,上級,33,チャレンジ,38
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,銘蘭学院,ストーリー,初級,18,中級,27,上級,33,チャレンジ,36
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,伐天・陽花戸中,ストーリー,初級,21,中級,25,上級,31,チャレンジ,35
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,西ノ宮中,ストーリー,初級,26,中級,32,上級,36,チャレンジ,48
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,東風異国館,ストーリー,初級,27,中級,33,上級,37,チャレンジ,49
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,京前嵐山中,ストーリー,初級,33,中級,37,上級,45,チャレンジ,53
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,帝国学園,ストーリー,初級,36,中級,45,上級,52,チャレンジ,60
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,英愛学園,ストーリー,初級,32,中級,36,上級,44,チャレンジ,52
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,偉仁銘文堂,ストーリー,初級,32,中級,36,上級,44,チャレンジ,52
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,法令館中,ストーリー,初級,32,中級,36,上級,44,チャレンジ,52
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,白恋中,ストーリー,初級,36,中級,45,上級,52,チャレンジ,60
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,宇宙研究会,ストーリー,初級,16,中級,22,上級,25,チャレンジ,32
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,クイズ研究会,ストーリー,初級,16,中級,22,上級,27,チャレンジ,31
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,演劇部,ストーリー,初級,22,中級,27,上級,31,チャレンジ,36
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,マジック研究会,ストーリー,初級,22,中級,25,上級,31,チャレンジ,35
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,茶道部,ストーリー,初級,25,中級,32,上級,36,チャレンジ,43
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,漫画研究会,ストーリー,初級,25,中級,31,上級,36,チャレンジ,43
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,アイドル同好会,ストーリー,初級,31,中級,35,上級,43,チャレンジ,47
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,吹奏楽部,ストーリー,初級,37,中級,45,上級,49,チャレンジ,53
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,軽音楽部,ストーリー,初級,36,中級,43,上級,47,チャレンジ,52
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,海洋生物部,ストーリー,初級,35,中級,44,上級,48,チャレンジ,53
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,電子計算機部,ストーリー,初級,18,中級,23,上級,26,チャレンジ,31
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,百人一首クラブ,ストーリー,初級,22,中級,26,上級,32,チャレンジ,36
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,囲碁・将棋部,ストーリー,初級,23,中級,27,上級,33,チャレンジ,37
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,日本舞踊部,ストーリー,初級,25,中級,31,上級,35,チャレンジ,43
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,美術部,ストーリー,初級,26,中級,32,上級,36,チャレンジ,44
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,オカルト研究会,ストーリー,初級,33,中級,37,上級,45,チャレンジ,49
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,メタル研究会,ストーリー,初級,33,中級,36,上級,44,チャレンジ,49
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,合唱部,ストーリー,初級,35,中級,44,上級,48,チャレンジ,51
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,新聞部,ストーリー,初級,37,中級,44,上級,49,チャレンジ,52
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,ボディビルダー部,ストーリー,初級,16,中級,21,上級,25,チャレンジ,31
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,ダンス部,ストーリー,初級,18,中級,23,上級,27,チャレンジ,33
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,ハンドボール部,ストーリー,初級,17,中級,21,上級,27,チャレンジ,31
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,ラグビー部,ストーリー,初級,21,中級,26,上級,31,チャレンジ,36
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,柔道部,ストーリー,初級,27,中級,33,上級,37,チャレンジ,45
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,格闘技部,ストーリー,初級,26,中級,33,上級,37,チャレンジ,43
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,陸上部,ストーリー,初級,31,中級,36,上級,44,チャレンジ,47
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,バスケットボール部,ストーリー,初級,32,中級,37,上級,45,チャレンジ,48
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,水泳部,ストーリー,初級,31,中級,35,上級,44,チャレンジ,48
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,相撲部,ストーリー,初級,17,中級,22,上級,26,チャレンジ,32
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,バドミントン部,ストーリー,初級,17,中級,23,上級,25,チャレンジ,33
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,サーフィン部,ストーリー,初級,21,中級,25,上級,31,チャレンジ,35
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,剣道部,ストーリー,初級,21,中級,26,上級,32,チャレンジ,36
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,バレーボール部,ストーリー,初級,27,中級,31,上級,36,チャレンジ,45
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,卓球部,ストーリー,初級,27,中級,33,上級,37,チャレンジ,44
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,テニス部,ストーリー,初級,32,中級,36,上級,44,チャレンジ,48
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,eスポーツ部,ストーリー,初級,35,中級,43,上級,47,チャレンジ,51
イナズマイレブン 英雄たちのヴィクトリーロード,VIC,水球部,ストーリー,初級,36,中級,44,上級,48,チャレンジ,52